test_id,category,query_to_ask,relevant_dataset_columns,expected_agents_triggered,expected_output_keywords,difficulty,validation_notes
F01,data_quality,Check the data quality of my StepWell footwear wholesale dataset and clean it up.,all columns,data_harvester,"missing values, outlier capping, duplicate removal, quality_score",Easy,"~5% missing order_quantity, ~3% missing price/stock, ~3% outlier spikes (4-5x), 9 duplicate rows. Quality score should be >= 70 after cleaning."
F02,data_quality,Profile the dataset — what's the average order quantity and price for each footwear product?,"product_name, order_quantity, wholesale_unit_price_inr",data_harvester,numeric_summary per product,Easy,"Relaxo Hawai Slippers should show by far the highest mean order_quantity (~120-130/day base), being a daily-essential high-volume item. Sparx Running Shoes should have the highest unit price (~620-680)."
F03,trend_analysis,"Compare order trends for Sparx Running Shoes, Bata Comfit Sandals, and Action Formal Leather Shoes. Which product is losing demand?","date, product_name, order_quantity",trend_analyst,Action Formal Leather Shoes: decreasing,Medium,"Action Formal Leather Shoes has a built-in -28% decline (post-pandemic shift away from formal wear). Sparx should show 'increasing' (+45%, sports trend). Bata Comfit Sandals should be roughly stable."
F04,trend_analysis,"Which distribution region — North, South, or West — orders the most footwear?","distribution_region, order_quantity",trend_analyst,"region-level totals via sql_query, roughly even",Medium,"All 3 regions use identical generation logic, so totals should be close to equal (~33% each). Tests if the agent avoids overclaiming a 'best region' from random noise."
F05,trend_analysis,Is there a seasonal spike for Liberty Force-10 School Shoes? When does it happen?,"date, product_name, order_quantity, season_event",trend_analyst,"spike detected around April 15 - June 15, peak near May 20",Medium,Liberty Force-10 School Shoes has a gaussian seasonal bump peaking May 20 reaching up to ~3x baseline (school admission season). The season_event column is explicitly labeled 'School Admission Season' for that window — TrendAnalyst should be able to correlate the spike with this label via sql_query.
F06,forecasting,Forecast order quantity for Liberty Force-10 School Shoes for the next 30 days. Should I prepare for a demand surge?,"date, order_quantity (Liberty)",data_harvester + forecaster,30-day forecast capturing tail of seasonal bump,Hard,"Since the dataset ends June 28 (school season window is Apr15-Jun15), the forecast window starts just after the peak has begun decaying. Prophet should still show elevated values relative to the Jan-Mar baseline, and ideally detect this as a seasonal/yearly-adjacent pattern if cmdstanpy converges well."
F07,forecasting,Predict order volume for Relaxo Hawai Slippers over the next 30 days — this is our highest-volume staple item.,"date, order_quantity (Relaxo)",forecaster,"stable forecast, weekly seasonality (weekend dip)",Medium,Relaxo Hawai Slippers has ~0% trend (stable) but DOES have a strong weekday/weekend B2B pattern (orders dip ~35% on weekends). FFT-based seasonality detection in Forecaster should flag weekly_seasonality=true.
F08,optimization,What reorder point and order quantity should I set for Sparx Running Shoes given its growing demand?,"order_quantity, warehouse_stock (Sparx)",mcts_optimizer,higher reorder_point/order_quantity reflecting +45% growth trend,Medium,"Because Sparx demand is growing, MCTS should recommend a HIGHER reorder point and order quantity than a stable product like Bata Comfit Sandals, to keep pace with rising B2B orders."
F09,optimization,Optimize inventory for Action Formal Leather Shoes with a low stockout cost of 20 and holding cost of 8 — we'd rather reduce excess stock since this category is declining.,"order_quantity, warehouse_stock (Action)",mcts_optimizer,"lower order_quantity, smaller safety stock vs default params",Hard,Custom parameter test: holding_cost=8 (default 5) and stockout_cost=20 (default 50) should push MCTS toward a leaner inventory policy — appropriate given the declining trend (-28%) for this product.
F10,visualization,Show me a bar chart of total order quantity by region for Bata Comfit Sandals.,"distribution_region, order_quantity (filtered conceptually to Bata)",visualizer,"chart_type: bar, 3 bars (North/South/West)",Easy,"Bata Comfit Sandals has no regional bias built into the generator, so the 3 bars should be roughly equal height."
