test_id,category,query_to_ask,relevant_dataset_columns,expected_agents_triggered,expected_output_keywords,difficulty,validation_notes
C01,data_quality,Check data quality for my Fabrico Garments production dataset and clean it.,all columns,data_harvester,"missing values, outliers capped, duplicates removed, quality_score",Easy,"~5% missing production_quantity, ~3% missing raw_material_cost_per_unit/finished_goods_stock, ~3% outlier spikes, 9 duplicate rows. Quality score should be >= 70."
C02,data_quality,Profile production output and raw material costs for each garment product.,"product_name, production_quantity, raw_material_cost_per_unit",data_harvester,numeric_summary per product,Easy,"Men's Cotton Round Neck T-Shirt should have by far the highest mean production_quantity (~210/day base). Women's Anarkali Suit Set should have the highest raw_material_cost_per_unit (~430-470, Georgette fabric)."
C03,trend_analysis,Compare production trends for Women's Rayon Printed Kurti and Men's Slim Fit Formal Shirt. Which is growing and which is shrinking?,"date, product_name, production_quantity",trend_analyst,"Kurti: increasing, Formal Shirt: decreasing",Medium,Women's Rayon Printed Kurti has a strong +48% built-in growth trend. Men's Slim Fit Formal Shirt has a -32% decline (reflecting reduced formal-wear demand). This is the clearest trend-direction contrast in the dataset.
C04,trend_analysis,"Which production unit — Tirupur, Ludhiana, or Jaipur — produces the most garments overall?","production_unit, production_quantity",trend_analyst,"unit-level totals via sql_query, roughly even",Medium,"All 3 units share identical generation logic, so totals should be close to equal (~33% each). Tests whether the agent resists fabricating a 'top performing unit' from noise alone."
C05,trend_analysis,Is there a wedding-season spike in Women's Anarkali Suit Set production? When does it peak?,"date, product_name, production_quantity, season_event",trend_analyst,"spike peaking around May 10, window April-June, additional Holi spike",Hard,Anarkali Suit production has a gaussian wedding-season bump peaking ~May 10 (up to 2.8x) PLUS a separate +80% spike specifically on Holi (Mar 25). The season_event column labels the broader window as 'Wedding Season'. TrendAnalyst should be able to surface both signals via sql_query grouping by season_event.
C06,trend_analysis,Does Kids Denim Jeans production show a back-to-school pattern?,"date, product_name, production_quantity",trend_analyst,"spike peaking around May 25, window April 15 - June 15",Medium,"Kids Denim Jeans has a gaussian back-to-school bump peaking ~May 25 (up to 2.2x baseline). Similar pattern shape to Liberty Force-10 School Shoes in the footwear dataset, but different magnitude and peak date — good cross-dataset comparison test."
C07,forecasting,Forecast production quantity for Men's Slim Fit Formal Shirt for the next 30 days.,"date, production_quantity (Formal Shirt)",data_harvester + forecaster,"declining forecast trend, MAPE",Medium,Formal Shirt has the strongest decline (-32%). The 30-day forecast should clearly show 'decreasing' trend with falling yhat values — useful test of whether Prophet captures sustained decline correctly.
C08,forecasting,"Predict production needs for Women's Anarkali Suit Set for the next 60 days, factoring in wedding season.","date, production_quantity (Anarkali)",forecaster,forecast capturing tail-end of wedding season decay,Hard,"Since data ends June 28 (wedding season window is Apr1-Jun28, peak May10), a 60-day forecast extends well past the window. Prophet should show declining values from late-June elevated levels toward a lower baseline by ~August, IF it generalizes the seasonal shape correctly (a known Prophet limitation with single-cycle seasonal bumps not tied to yearly_seasonality)."
C09,optimization,Optimize raw material ordering and production batch size for Women's Rayon Printed Kurti given its growth.,"production_quantity, finished_goods_stock (Kurti)",mcts_optimizer,higher reorder_point/order_quantity reflecting +48% growth,Medium,Kurti has the strongest organic growth trend in this dataset. MCTS should recommend a notably higher order_quantity/reorder_point than for a stable product like the T-shirt.
C10,optimization,"Set inventory optimization for Men's Cotton Round Neck T-Shirt with holding_cost=4 and stockout_cost=60 — this is our bread-and-butter high-volume product, we can't run out.","production_quantity, finished_goods_stock (T-Shirt)",mcts_optimizer,"custom params, high safety stock given high stockout penalty",Hard,"Custom parameter test on the highest-volume product (~210-237/day base). With stockout_cost=60 (above default 50) and holding_cost=4 (below default 5), MCTS should favor higher safety stock to avoid stockouts on this volume-critical SKU."
C11,visualization,"Show a line chart of Kids Denim Jeans production over time, highlighting the seasonal pattern.","date, production_quantity",visualizer,"chart_type: line, visible bump April-June",Easy,Line chart should show baseline ~50-55 units/day with a visible bell-curve bump peaking near May 25 (up to ~115-120 units).
C12,visualization,Create a bar chart comparing raw material cost per unit across all 5 garment products.,"product_name, raw_material_cost_per_unit",visualizer,"chart_type: bar, 5 bars",Easy,"Women's Anarkali Suit Set should have the tallest bar (~430-470 cost, Georgette). Men's Cotton Round Neck T-Shirt should have the shortest (~130-150 cost, basic Cotton)."
C13,order_management,Draft a production/raw-material order for Women's Anarkali Suit Set ahead of wedding season at the Jaipur unit.,"production_quantity, finished_goods_stock (Anarkali, Jaipur)",data_harvester + order_manager,"order plan, raw material framing, Jaipur-specific",Medium,"OrderManager output should be framed as a raw-material procurement order (since this is a manufacturer, not a retailer), distinct from a retail purchase order."
