test_id,category,query_to_ask,relevant_dataset_columns,expected_agents_triggered,expected_output_keywords,difficulty,validation_notes
E01,data_quality,Analyze the data quality of my TechHub Electronics dataset. What issues did you find and fix?,all columns,data_harvester,"missing values filled, outliers capped, duplicates removed, quality_score",Easy,"~5% missing in units_sold, ~3% missing in unit_price_inr/stock_on_hand, ~3% outlier spikes (4-6x), 9 duplicate rows. Expect quality_score >= 70."
E02,data_quality,Profile my electronics dataset. Give me statistics on units sold and pricing for each product.,"product_name, units_sold, unit_price_inr",data_harvester,"numeric_summary, mean/std/min/max per product",Easy,boAt Airdopes 141 should show highest base mean units_sold (~25-32). Samsung Galaxy M14 5G has highest unit_price (~13799-14199).
E03,trend_analysis,"Compare demand trends for boAt Airdopes 141, Mi Power Bank 3i, and Samsung Galaxy M14 5G. Which is growing and which is declining?","date, product_name, units_sold",trend_analyst,trend_directions per product,Medium,Mi Power Bank 3i 20000mAh should show 'decreasing' (built-in -30% trend). Samsung Galaxy M14 5G should show 'increasing' (+55% trend). boAt Airdopes 141 should be roughly 'stable'.
E04,trend_analysis,"Which city — Mumbai, Bangalore, or Delhi — sells the most electronics overall?","store_city, units_sold",trend_analyst,"city-level aggregation via sql_query, roughly even split",Medium,"All 3 cities have identical generation logic (same products/trends), so totals should be close to equal (~33% each) -- a good test that the agent doesn't hallucinate a fake 'winner' from noise."
E05,trend_analysis,"Are there sales spikes around sale events like Republic Day, Valentine's Day, or Holi?","date, sale_event, units_sold, promotion_flag",trend_analyst,"anomaly detection around 2024-01-26, 2024-02-14, 2024-03-25",Medium,Republic Day boosts ALL products +50%. Valentine's Day boosts boAt Airdopes 141 and Noise ColorFit Pulse 2 +40% specifically (gifting items) — TrendAnalyst should ideally surface that Valentine's affected those 2 products more than others.
E06,forecasting,Forecast units sold for Samsung Galaxy M14 5G for the next 30 days.,"date, units_sold (Galaxy M14)",data_harvester + forecaster,"30-day forecast, increasing trend, MAPE",Medium,Galaxy M14 has the strongest growth trend (+55%) plus Eid boost near the end of data (Jun 17). Forecast should show clearly 'increasing' trend with rising yhat values.
E07,forecasting,Predict demand for JBL Go 3 for the next 45 days. I want to know if I should stock up for summer.,"date, units_sold (JBL Go 3)",forecaster,"summer seasonality, weekly pattern, upward seasonal forecast",Medium,"JBL Go 3 has a gaussian summer demand bump peaking May 15 (sigma=25 days) plus weekend boost (+20% Sat/Sun). The 45-day forecast from late June should show declining seasonal bump as it moves past June, but FFT should detect a 7-day weekly cycle."
E08,optimization,Optimize inventory for Mi Power Bank 3i 20000mAh — give me the reorder point and order quantity.,"units_sold (Mi Power Bank), stock_on_hand",mcts_optimizer,"reorder_point, order_quantity, safety_stock — lower than other products due to declining trend",Medium,"Since Mi Power Bank demand is declining (-30%), the optimizer should recommend a LOWER reorder point/order quantity than a stable or growing product, to avoid overstocking a dying SKU."
E09,visualization,Show me a line chart of Samsung Galaxy M14 5G unit sales over time.,"date, units_sold",visualizer,"chart_type: line, x_axis: date, y_axis: units_sold",Easy,Plotly line chart spec. Should visually show the upward growth trend plus the Eid spike near June 17.
E10,visualization,Create a bar chart comparing total units sold by product.,"product_name, units_sold",visualizer,"chart_type: bar, 5 bars (one per product)",Easy,boAt Airdopes 141 should have the tallest bar (highest base demand ~25-32/day). Samsung Galaxy M14 5G should have the shortest (lowest base ~9-14/day) despite fastest growth.
E11,order_management,Draft a purchase order for Noise ColorFit Pulse 2 to restock Mumbai for the next cycle.,"units_sold, stock_on_hand (Noise ColorFit, Mumbai)",data_harvester + order_manager,"order plan text, Mumbai-specific",Medium,"OrderManager (Llama-3.1-8b) returns unstructured text plan. Verify order_manager_output appears in context, gating Notifier correctly if asked."
E12,edge_case,What's the weather like in Bangalore today?,none,"none — off-topic, minimal agents",Easy,graceful fallback,"IntentAnalyzer should set analysis_type='general', depth='quick'. No data agents should fire since this is unrelated to the dataset."
E13,edge_case,Forecast sales for the 'iPhone 16 Pro Max' which isn't in my dataset.,all columns,data_harvester + forecaster,graceful handling of non-existent product filter,Medium,"Forecaster doesn't filter by product_name automatically — it forecasts whatever numeric columns it detects (units_sold, stock_on_hand, restock_lead_time_days) across the FULL dataset. Verify no crash; the response should not claim to have iPhone-specific data."
E14,full_deep_analysis,"Give me a complete end-to-end analysis for Samsung Galaxy M14 5G: clean the dataset, analyze demand trends, forecast the next 30 days, optimize my reorder strategy, visualize the sales trend as a chart, draft a purchase order, and send me a Discord notification once it's ready.",all columns (filtered conceptually to Galaxy M14),data_harvester + trend_analyst + forecaster + mcts_optimizer + visualizer + order_manager + notifier,"all 7 agents fire, SharedContext chain (trend -> forecast -> MCTS), final Discord notification (or log fallback)",Hard,"This should trigger depth='deep' (via 'optimize'/'forecast'), wants_visualization=true ('visualize...chart'), wants_order=true ('draft a purchase order'), wants_notification=true ('send me a Discord notification'). Verify execution_levels show data_harvester first, then trend_analyst+forecaster+visualizer in parallel-ish levels, then mcts_optimizer, then order_manager, then notifier last. Check Notifier's guardrail: it should only succeed if order_manager_output exists in context."
E15,full_deep_analysis,"Run a full supply chain analysis on Mi Power Bank 3i 20000mAh — I want trends, a 30-day forecast, inventory optimization to avoid overstocking, a visualization, and place an order only for the minimum required stock. Notify me when done.",all columns,data_harvester + trend_analyst + forecaster + mcts_optimizer + visualizer + order_manager + notifier,"low order_quantity recommendation due to declining trend, full chain executes",Hard,"Because Mi Power Bank is declining (-30%), the MCTS recommendation should be conservative. This query tests whether the full pipeline correctly propagates a 'declining trend' signal from TrendAnalyst -> Forecaster -> MCTSOptimizer to avoid recommending large reorder quantities for a dying product."
E16,full_deep_analysis,"I need the complete picture on Noise ColorFit Pulse 2 before the next sale season: clean and check data quality, find demand trends and any anomalies, forecast 30 days ahead, optimize reorder point and order quantity with a high stockout penalty, show me a trend chart, and draft + notify me of a purchase order.",all columns,data_harvester + trend_analyst + forecaster + mcts_optimizer + visualizer + order_manager + notifier,full pipeline + high stockout_cost parameter awareness,Hard,"Tests whether 'high stockout penalty' phrasing gets reflected in MCTS parameters (stockout_cost). Noise ColorFit Pulse 2 has the +35% growth trend, so a high stockout penalty should push toward higher safety_stock to avoid missing growing demand."
E17,full_deep_analysis,"Give me a full deep-dive across my entire TechHub Electronics business: clean the data, analyze trends across all 3 cities, forecast next-month sales, optimize inventory, visualize the overall trend, generate a consolidated purchase order, and alert me on Discord.","all columns (all products, all cities)",data_harvester + trend_analyst + forecaster + mcts_optimizer + visualizer + order_manager + notifier,business-wide (not single-product) full pipeline run,Hard,"This is the broadest version — no specific product mentioned, so all agents operate on the full multi-product, multi-city dataset. Tests that MCTSOptimizer's _extract_demand() correctly falls back to the first matching numeric column (units_sold) across the whole dataset when not filtered."
E18,full_deep_analysis,"For JBL Go 3, walk me through everything: data cleaning, trend and seasonality analysis tied to the summer sale season, a 60-day forecast, inventory optimization, a chart of the demand curve, a draft purchase order, and a notification once complete.",all columns,data_harvester + trend_analyst + forecaster + mcts_optimizer + visualizer + order_manager + notifier,"60-day horizon parameter, summer seasonality detected, full pipeline",Hard,Tests a non-default forecast horizon (60 vs default 30) flowing through to Forecaster's 'periods' parameter. JBL Go 3's seasonal summer bump (peak ~May 15) should be reflected as detected seasonality in the TrendAnalyst + Forecaster outputs.
